input_name,companyName,businessArea,encryptBrandId
阿德斯（宁夏）能源科技有限公司,宁夏阿德斯,银川市金凤区宝湖市场,612892b3c273c9211Hx93929GVQ~
阿兹特克（宁夏）科技有限公司,阿兹特克,银川市兴庆区胜利街,0e5a229f0a720e961HN73d--ElI~
爱幕依（宁夏）影视文化有限公司,爱幕依,银川市金凤区宝湖市场,18dd716246569afa1ndz3Ni1GFE~
安创蓓康生物科技有限公司,安创蓓康,银川市金凤区新城,cee8ff18ba23b2751nd52tm6F1Y~
安骑（宁夏）科技有限公司,四川安骑摩托车销售,成都市双流区九江,3143348101a84dea1HR-3ty0E1U~
安瑞森（宁夏）电子材料有限公司,安瑞森,苏州市张家港市金港镇,5752d042e944b6141nZ42ti1E1c~
安替奔达（宁夏）生物科技有限责任公司,,,
百捷智达科技有限公司,百捷智达,呼和浩特市赛罕区大学西路,63e6027c06aa858a1ndy3925FVM~
百瑞源枸杞股份有限公司,百瑞源,银川市贺兰县德胜,a1091b327e5eb1ef03V729S-EA~~
半亩良人生物工程研究（宁夏）有限公司,半亩良人智慧农业科技,银川,9116cbb5a797d8871nN52tq5E1U~
半亩良人智慧农业科技（宁夏）有限公司,半亩良人智慧农业科技,银川,9116cbb5a797d8871nN52tq5E1U~
宝塔实业股份有限公司,深圳赛瑞斯汽车科...,延安,f14f7a3b3d690a851HB62dq7F1I~
北阀智控（宁夏）科技有限公司,北阀智控,银川市永宁县望远,aa09d989e4c0f2561XR-2t61F1o~
北方益农（宁夏）环保科技有限公司,,,
北京同仁堂健康药业（宁夏）有限公司,北京同仁堂健康药业宁,银川,c336d55c57e0cdca1nd73d6-GVc~
北控宝盈商务服务（宁夏）有限公司,,,
博尔特新材料（银川）有限公司,博尔特新材料,银川,a656169b4ee808b103Z53dS5FVY~
车主驿站（宁夏）技术服务有限公司,车主驿站,固原市原州区五指广场,cbd5b98173ce1e141HF909m6FlE~
辰卓科技有限公司,辰卓,银川市兴庆区绿地21城,b4e6bb27700a9bdd0nZ-3tm8Ew~~
成电创孵（宁夏）科技有限公司,,,
成电创智（银川）信息科技有限公司,,,
川宁电缆有限公司,川宁电缆有限公司,银川市兴庆区胜利街,ef3cddf5c5b415c51XF439W9F1c~
大华（银川）医疗科技有限公司,大华医疗科技,银川市金凤区开发区,7e7d16d666b83b973nFy2tW-GA~~
大象（宁夏）电力技术有限公司,大象电力,银川市金凤区开发区,0038ad9578a77f0a3nJ43920GA~~
德尚（宁夏）知识产权咨询有限公司,淄博德尚食品有限公司,淄博,02a2be4f8da03b6a1nd839m_Flc~
鼎川（宁夏）科技电缆股份有限公司,山东鼎川医疗器械,阜阳市颍州区大润发,901b40b0c2f982f81HBy3ty0FFc~
东方联鸣（宁夏）科技发展有限公司,东方联鸣,银川市兴庆区绿地21城,7f4b814aace661741XR_29S8GVI~
东方塑力线缆有限公司,,,
斗牛士（宁夏）科技发展有限公司,斗牛士乐器,永州,8e5ad218b1433ee51HBz2dy7EVE~
恩泽斯（宁夏）环境技术有限公司,,,
凡雀（宁夏）文化创意有限公司,凡雀,银川市金凤区阅海,5c2fd7dc81c2d2521XR62dq1FlU~
非凡智慧（宁夏）科技有限公司,,,
